Turn, Player, Gold Balance, Unit Maintenance, Building Maintenance, Total Maintenance, Gold Yield
4, 24,   0.0, 0, 0, 0,   0.0
4, 25,   0.0, 0, 0, 0,   0.0
4, 26,   0.0, 0, 0, 0,   0.0
4, 27,   0.0, 0, 0, 0,   0.0
4, 28,   0.0, 0, 0, 0,   0.0
4, 29,   0.0, 0, 0, 0,   0.0
4, 30,   0.0, 0, 0, 0,   0.0
4, 31,   0.0, 0, 0, 0,   0.0
5, 0,  20.0, 0, 0, 0,   5.0
5, 1, 105.0, 0, 0, 0,   5.0
5, 2,  20.0, 0, 0, 0,   5.0
5, 3,  20.0, 0, 0, 0,   5.0
5, 4,  22.0, 0, 0, 0,   6.0
5, 5,  95.0, 0, 0, 0,   5.0
5, 6,  20.0, 0, 0, 0,   5.0
5, 7,  20.0, 0, 0, 0,   5.0
5, 8,   0.0, 0, 0, 0,   0.0
5, 9,   0.0, 0, 0, 0,   0.0
5, 10,   0.0, 0, 0, 0,   0.0
5, 11,   0.0, 0, 0, 0,   0.0
5, 12,   0.0, 0, 0, 0,   0.0
5, 13,   0.0, 0, 0, 0,   0.0
5, 14,   0.0, 0, 0, 0,   0.0
5, 15,   0.0, 0, 0, 0,   0.0
5, 16,   0.0, 0, 0, 0,   0.0
5, 17,   0.0, 0, 0, 0,   0.0
5, 18,   0.0, 0, 0, 0,   0.0
5, 19,   0.0, 0, 0, 0,   0.0
5, 20,   0.0, 0, 0, 0,   0.0
5, 21,   0.0, 0, 0, 0,   0.0
5, 22,   0.0, 0, 0, 0,   0.0
5, 23,   0.0, 0, 0, 0,   0.0
5, 24,   0.0, 0, 0, 0,   0.0
5, 25,   0.0, 0, 0, 0,   0.0
5, 26,   0.0, 0, 0, 0,   0.0
5, 27,   0.0, 0, 0, 0,   0.0
5, 28,   0.0, 0, 0, 0,   0.0
5, 29,   0.0, 0, 0, 0,   0.0
5, 30,   0.0, 0, 0, 0,   0.0
5, 31,   0.0, 0, 0, 0,   0.0
6, 0,  25.0, 0, 0, 0,   5.0
6, 1, 210.0, 0, 0, 0,   5.0
6, 2,  25.0, 0, 0, 0,   5.0
6, 3,  25.0, 0, 0, 0,   5.0
6, 4,  30.0, 0, 0, 0,   8.0
6, 5, 100.0, 0, 0, 0,   5.0
6, 6,  25.0, 0, 0, 0,   5.0
6, 7,  25.0, 0, 0, 0,   5.0
6, 8,   0.0, 0, 0, 0,   0.0
6, 9,   0.0, 0, 0, 0,   0.0
6, 10,   0.0, 0, 0, 0,   0.0
6, 11,   0.0, 0, 0, 0,   0.0
6, 12,   0.0, 0, 0, 0,   0.0
6, 13,   0.0, 0, 0, 0,   0.0
6, 14,   0.0, 0, 0, 0,   0.0
6, 15,   0.0, 0, 0, 0,   0.0
6, 16,   0.0, 0, 0, 0,   0.0
6, 17,   0.0, 0, 0, 0,   0.0
6, 18,   0.0, 0, 0, 0,   0.0
6, 19,   0.0, 0, 0, 0,   0.0
6, 20,   0.0, 0, 0, 0,   0.0
6, 21,   0.0, 0, 0, 0,   0.0
6, 22,   0.0, 0, 0, 0,   0.0
6, 23,   0.0, 0, 0, 0,   0.0
6, 24,   0.0, 0, 0, 0,   0.0
6, 25,   0.0, 0, 0, 0,   0.0
6, 26,   0.0, 0, 0, 0,   0.0
6, 27,   0.0, 0, 0, 0,   0.0
6, 28,   0.0, 0, 0, 0,   0.0
6, 29,   0.0, 0, 0, 0,   0.0
6, 30,   0.0, 0, 0, 0,   0.0
6, 31,   0.0, 0, 0, 0,   0.0
7, 0,  30.0, 0, 0, 0,   5.0
7, 1, 115.0, 0, 0, 0,   5.0
7, 2,  82.0, 0, 0, 0,   7.0
7, 3,  30.0, 0, 0, 0,   5.0
7, 4, 114.0, 0, 0, 0,   9.0
7, 5, 105.0, 0, 0, 0,   5.0
7, 6,  30.0, 0, 0, 0,   5.0
7, 7,  30.0, 0, 0, 0,   5.0
7, 8,   0.0, 0, 0, 0,   0.0
7, 9,   0.0, 0, 0, 0,   0.0
7, 10,   0.0, 0, 0, 0,   0.0
7, 11,   0.0, 0, 0, 0,   0.0
7, 12,   0.0, 0, 0, 0,   0.0
7, 13,   0.0, 0, 0, 0,   0.0
7, 14,   0.0, 0, 0, 0,   0.0
7, 15,   0.0, 0, 0, 0,   0.0
7, 16,   0.0, 0, 0, 0,   0.0
7, 17,   0.0, 0, 0, 0,   0.0
7, 18,   0.0, 0, 0, 0,   0.0
7, 19,   0.0, 0, 0, 0,   0.0
7, 20,   0.0, 0, 0, 0,   0.0
7, 21,   0.0, 0, 0, 0,   0.0
7, 22,   0.0, 0, 0, 0,   0.0
7, 23,   0.0, 0, 0, 0,   0.0
7, 24,   0.0, 0, 0, 0,   0.0
7, 25,   0.0, 0, 0, 0,   0.0
7, 26,   0.0, 0, 0, 0,   0.0
7, 27,   0.0, 0, 0, 0,   0.0
7, 28,   0.0, 0, 0, 0,   0.0
7, 29,   0.0, 0, 0, 0,   0.0
7, 30,   0.0, 0, 0, 0,   0.0
7, 31,   0.0, 0, 0, 0,   0.0
8, 0,  35.0, 0, 0, 0,   5.0
8, 1, 120.0, 0, 0, 0,   5.0
8, 2,  89.0, 0, 0, 0,   7.0
8, 3,  35.0, 0, 0, 0,   5.0
8, 4, 123.0, 0, 0, 0,   9.0
8, 5,  59.0, 1, 0, 1,   4.0
8, 6,  35.0, 0, 0, 0,   5.0
8, 7,  85.0, 0, 0, 0,   5.0
8, 8,   0.0, 0, 0, 0,   0.0
8, 9,   0.0, 0, 0, 0,   0.0
8, 10,   0.0, 0, 0, 0,   0.0
8, 11,   0.0, 0, 0, 0,   0.0
8, 12,   0.0, 0, 0, 0,   0.0
8, 13,   0.0, 0, 0, 0,   0.0
8, 14,   0.0, 0, 0, 0,   0.0
8, 15,   0.0, 0, 0, 0,   0.0
8, 16,   0.0, 0, 0, 0,   0.0
8, 17,   0.0, 0, 0, 0,   0.0
8, 18,   0.0, 0, 0, 0,   0.0
8, 19,   0.0, 0, 0, 0,   0.0
8, 20,   0.0, 0, 0, 0,   0.0
8, 21,   0.0, 0, 0, 0,   0.0
8, 22,   0.0, 0, 0, 0,   0.0
8, 23,   0.0, 0, 0, 0,   0.0
8, 24,   0.0, 0, 0, 0,   0.0
8, 25,   0.0, 0, 0, 0,   0.0
8, 26,   0.0, 0, 0, 0,   0.0
8, 27,   0.0, 0, 0, 0,   0.0
8, 28,   0.0, 0, 0, 0,   0.0
8, 29,   0.0, 0, 0, 0,   0.0
8, 30,   0.0, 0, 0, 0,   0.0
8, 31,   0.0, 0, 0, 0,   0.0
9, 0,  40.0, 0, 0, 0,   5.0
9, 1, 125.0, 0, 0, 0,   5.0
9, 2,  96.0, 0, 0, 0,   7.0
9, 3,  40.0, 0, 0, 0,   5.0
9, 4,  12.0, 0, 0, 0,   9.0
9, 5,  63.0, 1, 0, 1,   4.0
9, 6,  40.0, 0, 0, 0,   5.0
9, 7,  90.0, 0, 0, 0,   5.0
9, 8,   0.0, 0, 0, 0,   0.0
9, 9,   0.0, 0, 0, 0,   0.0
9, 10,   0.0, 0, 0, 0,   0.0
9, 11,   0.0, 0, 0, 0,   0.0
9, 12,   0.0, 0, 0, 0,   0.0
9, 13,   0.0, 0, 0, 0,   0.0
9, 14,   0.0, 0, 0, 0,   0.0
9, 15,   0.0, 0, 0, 0,   0.0
9, 16,   0.0, 0, 0, 0,   0.0
9, 17,   0.0, 0, 0, 0,   0.0
9, 18,   0.0, 0, 0, 0,   0.0
9, 19,   0.0, 0, 0, 0,   0.0
9, 20,   0.0, 0, 0, 0,   0.0
9, 21,   0.0, 0, 0, 0,   0.0
9, 22,   0.0, 0, 0, 0,   0.0
9, 23,   0.0, 0, 0, 0,   0.0
9, 24,   0.0, 0, 0, 0,   0.0
9, 25,   0.0, 0, 0, 0,   0.0
9, 26,   0.0, 0, 0, 0,   0.0
9, 27,   0.0, 0, 0, 0,   0.0
9, 28,   0.0, 0, 0, 0,   0.0
9, 29,   0.0, 0, 0, 0,   0.0
9, 30,   0.0, 0, 0, 0,   0.0
9, 31,   0.0, 0, 0, 0,   0.0
10, 0,  45.0, 0, 0, 0,   5.0
10, 1, 130.0, 0, 0, 0,   5.0
10, 2, 103.0, 0, 0, 0,   7.0
10, 3,  45.0, 0, 0, 0,   5.0
10, 4,  21.0, 0, 0, 0,   9.0
10, 5,  67.0, 1, 0, 1,   4.0
10, 6,  45.0, 0, 0, 0,   5.0
10, 7,  95.0, 0, 0, 0,   5.0
10, 8,   0.0, 0, 0, 0,   0.0
10, 9,   0.0, 0, 0, 0,   0.0
10, 10,   0.0, 0, 0, 0,   0.0
10, 11,   0.0, 0, 0, 0,   0.0
10, 12,   0.0, 0, 0, 0,   0.0
10, 13,   0.0, 0, 0, 0,   0.0
10, 14,   0.0, 0, 0, 0,   0.0
10, 15,   0.0, 0, 0, 0,   0.0
10, 16,   0.0, 0, 0, 0,   0.0
10, 17,   0.0, 0, 0, 0,   0.0
10, 18,   0.0, 0, 0, 0,   0.0
10, 19,   0.0, 0, 0, 0,   0.0
10, 20,   0.0, 0, 0, 0,   0.0
10, 21,   0.0, 0, 0, 0,   0.0
10, 22,   0.0, 0, 0, 0,   0.0
10, 23,   0.0, 0, 0, 0,   0.0
10, 24,   0.0, 0, 0, 0,   0.0
10, 25,   0.0, 0, 0, 0,   0.0
10, 26,   0.0, 0, 0, 0,   0.0
10, 27,   0.0, 0, 0, 0,   0.0
10, 28,   0.0, 0, 0, 0,   0.0
10, 29,   0.0, 0, 0, 0,   0.0
10, 30,   0.0, 0, 0, 0,   0.0
10, 31,   0.0, 0, 0, 0,   0.0
11, 0,  50.0, 0, 0, 0,   5.0
11, 1, 135.0, 0, 0, 0,   5.0
11, 2, 110.0, 0, 0, 0,   7.0
11, 3,  50.0, 0, 0, 0,   5.0
11, 4,  50.0, 0, 0, 0,   9.0
11, 5,  71.0, 1, 0, 1,   4.0
11, 6,  50.0, 0, 0, 0,   5.0
11, 7, 100.0, 0, 0, 0,   5.0
11, 8,   0.0, 0, 0, 0,   0.0
11, 9,   0.0, 0, 0, 0,   0.0
11, 10,   0.0, 0, 0, 0,   0.0
11, 11,   0.0, 0, 0, 0,   0.0
11, 12,   0.0, 0, 0, 0,   0.0
11, 13,   0.0, 0, 0, 0,   0.0
11, 14,   0.0, 0, 0, 0,   0.0
11, 15,   0.0, 0, 0, 0,   0.0
11, 16,   0.0, 0, 0, 0,   0.0
11, 17,   0.0, 0, 0, 0,   0.0
11, 18,   0.0, 0, 0, 0,   0.0
11, 19,   0.0, 0, 0, 0,   0.0
11, 20,   0.0, 0, 0, 0,   0.0
11, 21,   0.0, 0, 0, 0,   0.0
11, 22,   0.0, 0, 0, 0,   0.0
11, 23,   0.0, 0, 0, 0,   0.0
11, 24,   0.0, 0, 0, 0,   0.0
11, 25,   0.0, 0, 0, 0,   0.0
11, 26,   0.0, 0, 0, 0,   0.0
11, 27,   0.0, 0, 0, 0,   0.0
11, 28,   0.0, 0, 0, 0,   0.0
11, 29,   0.0, 0, 0, 0,   0.0
11, 30,   0.0, 0, 0, 0,   0.0
11, 31,   0.0, 0, 0, 0,   0.0
12, 0,  55.0, 0, 0, 0,   5.0
12, 1, 171.0, 0, 0, 0,   6.0
12, 2, 117.0, 0, 0, 0,   7.0
12, 3,  55.0, 0, 0, 0,   5.0
12, 4,  59.0, 0, 0, 0,   9.0
12, 5,  75.0, 1, 0, 1,   4.0
12, 6,  55.0, 0, 0, 0,   5.0
12, 7, 105.0, 0, 0, 0,   5.0
12, 8,   0.0, 0, 0, 0,   0.0
12, 9,   0.0, 0, 0, 0,   0.0
12, 10,   0.0, 0, 0, 0,   0.0
12, 11,   0.0, 0, 0, 0,   0.0
12, 12,   0.0, 0, 0, 0,   0.0
12, 13,   0.0, 0, 0, 0,   0.0
12, 14,   0.0, 0, 0, 0,   0.0
12, 15,   0.0, 0, 0, 0,   0.0
12, 16,   0.0, 0, 0, 0,   0.0
12, 17,   0.0, 0, 0, 0,   0.0
12, 18,   0.0, 0, 0, 0,   0.0
12, 19,   0.0, 0, 0, 0,   0.0
12, 20,   0.0, 0, 0, 0,   0.0
12, 21,   0.0, 0, 0, 0,   0.0
12, 22,   0.0, 0, 0, 0,   0.0
12, 23,   0.0, 0, 0, 0,   0.0
12, 24,   0.0, 0, 0, 0,   0.0
12, 25,   0.0, 0, 0, 0,   0.0
12, 26,   0.0, 0, 0, 0,   0.0
12, 27,   0.0, 0, 0, 0,   0.0
12, 28,   0.0, 0, 0, 0,   0.0
12, 29,   0.0, 0, 0, 0,   0.0
12, 30,   0.0, 0, 0, 0,   0.0
12, 31,   0.0, 0, 0, 0,   0.0
13, 0,  60.0, 0, 0, 0,   5.0
13, 1, 177.0, 0, 0, 0,   6.0
13, 2, 124.0, 0, 0, 0,   7.0
13, 3,  60.0, 0, 0, 0,   5.0
13, 4,  68.0, 0, 0, 0,   9.0
13, 5,  79.0, 1, 0, 1,   4.0
13, 6,  60.0, 0, 0, 0,   5.0
13, 7, 110.0, 0, 0, 0,   5.0
13, 8,   0.0, 0, 0, 0,   0.0
13, 9,   0.0, 0, 0, 0,   0.0
13, 10,   0.0, 0, 0, 0,   0.0
13, 11,   0.0, 0, 0, 0,   0.0
13, 12,   0.0, 0, 0, 0,   0.0
13, 13,   0.0, 0, 0, 0,   0.0
13, 14,   0.0, 0, 0, 0,   0.0
13, 15,   0.0, 0, 0, 0,   0.0
13, 16,   0.0, 0, 0, 0,   0.0
13, 17,   0.0, 0, 0, 0,   0.0
13, 18,   0.0, 0, 0, 0,   0.0
13, 19,   0.0, 0, 0, 0,   0.0
13, 20,   0.0, 0, 0, 0,   0.0
13, 21,   0.0, 0, 0, 0,   0.0
13, 22,   0.0, 0, 0, 0,   0.0
13, 23,   0.0, 0, 0, 0,   0.0
13, 24,   0.0, 0, 0, 0,   0.0
13, 25,   0.0, 0, 0, 0,   0.0
13, 26,   0.0, 0, 0, 0,   0.0
13, 27,   0.0, 0, 0, 0,   0.0
13, 28,   0.0, 0, 0, 0,   0.0
13, 29,   0.0, 0, 0, 0,   0.0
13, 30,   0.0, 0, 0, 0,   0.0
13, 31,   0.0, 0, 0, 0,   0.0
14, 0,  65.0, 0, 0, 0,   5.0
14, 1, 183.0, 0, 0, 0,   6.0
14, 2, 131.0, 0, 0, 0,   7.0
14, 3,  65.0, 0, 0, 0,   5.0
14, 4,  77.0, 0, 0, 0,   9.0
14, 5,  83.0, 1, 0, 1,   4.0
14, 6,  65.0, 0, 0, 0,   5.0
14, 7, 115.0, 0, 0, 0,   5.0
14, 8,   0.0, 0, 0, 0,   0.0
14, 9,   0.0, 0, 0, 0,   0.0
14, 10,   0.0, 0, 0, 0,   0.0
14, 11,   0.0, 0, 0, 0,   0.0
14, 12,   0.0, 0, 0, 0,   0.0
14, 13,   0.0, 0, 0, 0,   0.0
14, 14,   0.0, 0, 0, 0,   0.0
14, 15,   0.0, 0, 0, 0,   0.0
14, 16,   0.0, 0, 0, 0,   0.0
14, 17,   0.0, 0, 0, 0,   0.0
14, 18,   0.0, 0, 0, 0,   0.0
14, 19,   0.0, 0, 0, 0,   0.0
14, 20,   0.0, 0, 0, 0,   0.0
14, 21,   0.0, 0, 0, 0,   0.0
14, 22,   0.0, 0, 0, 0,   0.0
14, 23,   0.0, 0, 0, 0,   0.0
14, 24,   0.0, 0, 0, 0,   0.0
14, 25,   0.0, 0, 0, 0,   0.0
14, 26,   0.0, 0, 0, 0,   0.0
14, 27,   0.0, 0, 0, 0,   0.0
14, 28,   0.0, 0, 0, 0,   0.0
14, 29,   0.0, 0, 0, 0,   0.0
14, 30,   0.0, 0, 0, 0,   0.0
14, 31,   0.0, 0, 0, 0,   0.0
15, 0,  71.0, 0, 0, 0,   6.0
15, 1, 189.0, 0, 0, 0,   6.0
15, 2, 138.0, 0, 0, 0,   7.0
15, 3,  70.0, 0, 0, 0,   5.0
15, 4, 136.0, 0, 0, 0,   9.0
15, 5,  87.0, 1, 0, 1,   4.0
15, 6,  70.0, 0, 0, 0,   5.0
15, 7, 120.0, 0, 0, 0,   5.0
15, 8,   0.0, 0, 0, 0,   0.0
15, 9,   0.0, 0, 0, 0,   0.0
15, 10,   0.0, 0, 0, 0,   0.0
15, 11,   0.0, 0, 0, 0,   0.0
15, 12,   0.0, 0, 0, 0,   0.0
15, 13,   0.0, 0, 0, 0,   0.0
15, 14,   0.0, 0, 0, 0,   0.0
15, 15,   0.0, 0, 0, 0,   0.0
15, 16,   0.0, 0, 0, 0,   0.0
15, 17,   0.0, 0, 0, 0,   0.0
15, 18,   0.0, 0, 0, 0,   0.0
15, 19,   0.0, 0, 0, 0,   0.0
15, 20,   0.0, 0, 0, 0,   0.0
15, 21,   0.0, 0, 0, 0,   0.0
15, 22,   0.0, 0, 0, 0,   0.0
15, 23,   0.0, 0, 0, 0,   0.0
15, 24,   0.0, 0, 0, 0,   0.0
15, 25,   0.0, 0, 0, 0,   0.0
15, 26,   0.0, 0, 0, 0,   0.0
15, 27,   0.0, 0, 0, 0,   0.0
15, 28,   0.0, 0, 0, 0,   0.0
15, 29,   0.0, 0, 0, 0,   0.0
15, 30,   0.0, 0, 0, 0,   0.0
15, 31,   0.0, 0, 0, 0,   0.0
16, 0,  77.0, 0, 0, 0,   6.0
16, 1, 195.0, 0, 0, 0,   6.0
16, 2, 145.0, 0, 0, 0,   7.0
16, 3,  74.0, 1, 0, 1,   4.0
16, 4, 165.0, 0, 0, 0,   9.0
16, 5,  91.0, 1, 0, 1,   4.0
16, 6,  76.0, 0, 0, 0,   6.0
16, 7, 125.0, 0, 0, 0,   5.0
16, 8,   0.0, 0, 0, 0,   0.0
16, 9,   0.0, 0, 0, 0,   0.0
16, 10,   0.0, 0, 0, 0,   0.0
16, 11,   0.0, 0, 0, 0,   0.0
16, 12,   0.0, 0, 0, 0,   0.0
16, 13,   0.0, 0, 0, 0,   0.0
16, 14,   0.0, 0, 0, 0,   0.0
16, 15,   0.0, 0, 0, 0,   0.0
16, 16,   0.0, 0, 0, 0,   0.0
16, 17,   0.0, 0, 0, 0,   0.0
16, 18,   0.0, 0, 0, 0,   0.0
16, 19,   0.0, 0, 0, 0,   0.0
16, 20,   0.0, 0, 0, 0,   0.0
16, 21,   0.0, 0, 0, 0,   0.0
16, 22,   0.0, 0, 0, 0,   0.0
16, 23,   0.0, 0, 0, 0,   0.0
16, 24,   0.0, 0, 0, 0,   0.0
16, 25,   0.0, 0, 0, 0,   0.0
16, 26,   0.0, 0, 0, 0,   0.0
16, 27,   0.0, 0, 0, 0,   0.0
16, 28,   0.0, 0, 0, 0,   0.0
16, 29,   0.0, 0, 0, 0,   0.0
16, 30,   0.0, 0, 0, 0,   0.0
16, 31,   0.0, 0, 0, 0,   0.0
17, 0,  83.0, 0, 0, 0,   6.0
17, 1, 201.0, 0, 0, 0,   6.0
17, 2, 152.0, 0, 0, 0,   7.0
17, 3,  78.0, 1, 0, 1,   4.0
17, 4,  56.0, 0, 0, 0,  11.0
17, 5,  95.0, 1, 0, 1,   4.0
17, 6, 132.0, 0, 0, 0,   6.0
17, 7, 130.0, 0, 0, 0,   5.0
17, 8,   0.0, 0, 0, 0,   0.0
17, 9,   0.0, 0, 0, 0,   0.0
17, 10,   0.0, 0, 0, 0,   0.0
17, 11,   0.0, 0, 0, 0,   0.0
17, 12,   0.0, 0, 0, 0,   0.0
17, 13,   0.0, 0, 0, 0,   0.0
17, 14,   0.0, 0, 0, 0,   0.0
17, 15,   0.0, 0, 0, 0,   0.0
17, 16,   0.0, 0, 0, 0,   0.0
17, 17,   0.0, 0, 0, 0,   0.0
17, 18,   0.0, 0, 0, 0,   0.0
17, 19,   0.0, 0, 0, 0,   0.0
17, 20,   0.0, 0, 0, 0,   0.0
17, 21,   0.0, 0, 0, 0,   0.0
17, 22,   0.0, 0, 0, 0,   0.0
17, 23,   0.0, 0, 0, 0,   0.0
17, 24,   0.0, 0, 0, 0,   0.0
17, 25,   0.0, 0, 0, 0,   0.0
17, 26,   0.0, 0, 0, 0,   0.0
17, 27,   0.0, 0, 0, 0,   0.0
17, 28,   0.0, 0, 0, 0,   0.0
17, 29,   0.0, 0, 0, 0,   0.0
17, 30,   0.0, 0, 0, 0,   0.0
17, 31,   0.0, 0, 0, 0,   0.0
18, 0,  89.0, 0, 0, 0,   6.0
18, 1, 207.0, 0, 0, 0,   6.0
18, 2, 159.0, 0, 0, 0,   7.0
18, 3,  82.0, 1, 0, 1,   4.0
18, 4,  67.0, 0, 0, 0,  11.0
18, 5,  99.0, 1, 0, 1,   4.0
18, 6, 138.0, 0, 0, 0,   6.0
18, 7, 135.0, 0, 0, 0,   5.0
18, 8,   0.0, 0, 0, 0,   0.0
18, 9,   0.0, 0, 0, 0,   0.0
18, 10,   0.0, 0, 0, 0,   0.0
18, 11,   0.0, 0, 0, 0,   0.0
18, 12,   0.0, 0, 0, 0,   0.0
18, 13,   0.0, 0, 0, 0,   0.0
18, 14,   0.0, 0, 0, 0,   0.0
18, 15,   0.0, 0, 0, 0,   0.0
18, 16,   0.0, 0, 0, 0,   0.0
18, 17,   0.0, 0, 0, 0,   0.0
18, 18,   0.0, 0, 0, 0,   0.0
18, 19,   0.0, 0, 0, 0,   0.0
18, 20,   0.0, 0, 0, 0,   0.0
18, 21,   0.0, 0, 0, 0,   0.0
18, 22,   0.0, 0, 0, 0,   0.0
18, 23,   0.0, 0, 0, 0,   0.0
18, 24,   0.0, 0, 0, 0,   0.0
18, 25,   0.0, 0, 0, 0,   0.0
18, 26,   0.0, 0, 0, 0,   0.0
18, 27,   0.0, 0, 0, 0,   0.0
18, 28,   0.0, 0, 0, 0,   0.0
18, 29,   0.0, 0, 0, 0,   0.0
18, 30,   0.0, 0, 0, 0,   0.0
18, 31,   0.0, 0, 0, 0,   0.0
19, 0,  95.0, 0, 0, 0,   6.0
19, 1, 213.0, 0, 0, 0,   6.0
19, 2, 168.0, 0, 0, 0,   9.0
19, 3,  86.0, 1, 0, 1,   4.0
19, 4,  98.0, 0, 0, 0,  11.0
19, 5, 103.0, 1, 0, 1,   4.0
19, 6, 144.0, 0, 0, 0,   6.0
19, 7, 140.0, 0, 0, 0,   5.0
19, 8,   0.0, 0, 0, 0,   0.0
19, 9,   0.0, 0, 0, 0,   0.0
19, 10,   0.0, 0, 0, 0,   0.0
19, 11,   0.0, 0, 0, 0,   0.0
19, 12,   0.0, 0, 0, 0,   0.0
19, 13,   0.0, 0, 0, 0,   0.0
19, 14,   0.0, 0, 0, 0,   0.0
19, 15,   0.0, 0, 0, 0,   0.0
19, 16,   0.0, 0, 0, 0,   0.0
19, 17,   0.0, 0, 0, 0,   0.0
19, 18,   0.0, 0, 0, 0,   0.0
19, 19,   0.0, 0, 0, 0,   0.0
19, 20,   0.0, 0, 0, 0,   0.0
19, 21,   0.0, 0, 0, 0,   0.0
19, 22,   0.0, 0, 0, 0,   0.0
19, 23,   0.0, 0, 0, 0,   0.0
19, 24,   0.0, 0, 0, 0,   0.0
19, 25,   0.0, 0, 0, 0,   0.0
19, 26,   0.0, 0, 0, 0,   0.0
19, 27,   0.0, 0, 0, 0,   0.0
19, 28,   0.0, 0, 0, 0,   0.0
19, 29,   0.0, 0, 0, 0,   0.0
19, 30,   0.0, 0, 0, 0,   0.0
19, 31,   0.0, 0, 0, 0,   0.0
20, 0, 101.0, 0, 0, 0,   6.0
20, 1, 219.0, 0, 0, 0,   6.0
20, 2,  57.0, 0, 0, 0,   9.0
20, 3,  90.0, 1, 0, 1,   4.0
20, 4, 109.0, 0, 0, 0,  11.0
20, 5, 107.0, 1, 0, 1,   4.0
20, 6, 150.0, 0, 0, 0,   6.0
20, 7, 146.0, 0, 0, 0,   6.0
20, 8,   0.0, 0, 0, 0,   0.0
20, 9,   0.0, 0, 0, 0,   0.0
20, 10,   0.0, 0, 0, 0,   0.0
20, 11,   0.0, 0, 0, 0,   0.0
20, 12,   0.0, 0, 0, 0,   0.0
20, 13,   0.0, 0, 0, 0,   0.0
20, 14,   0.0, 0, 0, 0,   0.0
20, 15,   0.0, 0, 0, 0,   0.0
20, 16,   0.0, 0, 0, 0,   0.0
20, 17,   0.0, 0, 0, 0,   0.0
20, 18,   0.0, 0, 0, 0,   0.0
